route_id,agency_id,route_short_name,route_long_name,route_desc,route_type,route_url,route_color,route_text_color
3511_51301,7778082,IW07,"Gorey, Main Street - Carlow, Carlow College",,3,,,
3579_53763,7778256,SI03,Belmullet - Sligo,,3,,,
3579_53764,7778256,NG11,Belmullet - Galway,,3,,,
3592_37748,7778099,KY03,"Killarney, Gleneagle Hotel - Killarney, Gleneagle Hotel",,3,,,
3826_51300,7778193,UM11,Gorey - Wicklow - Maynooth,,3,,,
3863_49809,7778348,AI05,Edenderry - Athlone,,3,,,
4194_46238,7778230,164,Sydney Parade DART Station - UCD,,3,,,
4194_72109,7778230,511,Rathfarnham - Mount Anville,,3,,,
4389_83262,7778260,DK07,Monaghan - Dundalk Institute of Technology,,3,,,
4390_77356,7778227,930,Swanlinbar - Cavan,,3,,,
4409_84786,7778266,VI04,Cross Keys - Cavan,,3,,,
4410_83419,7778060,IW08,Mountmellick - Carlow,,3,,,
4442_85798,7778309,525,Galway City - Rossaveel,,3,,,
4465_46239,7778100,KL03,Santry - Keelings Retail UC,,3,,,
4506_41295,7778371,809,Galway City  - Glásan Student Village,,3,,,
4540_74631,7778247,UM15,Carrick-on-Suir - Maynooth University,,3,,,
4540_91935,7778247,WI05,Clonmel/ Limerick - Waterford,,3,,,
4551_56125,7778032,947,Rossport - Belmullet,,3,,,
4551_91958,7778032,945,Rossport - Belmullet,,3,,,
4551_92138,7778032,946,Rossport - Belmullet,,3,,,
4586_37963,7778036,836,"Dublin, Millennium Spire - Corduff (Fingal), Cruiserath Road",,3,,,
4586_46124,7778036,787,"Ballymun, Travelodge Hotel - Dublin Airport",,3,,,
4586_47272,7778036,870,O'Connell Street Upper - Damastown IBM,,3,,,
4586_74628,7778036,860,Aston Quay - Park West,,3,,,
4586_92217,7778036,786,Dublin Airport Hilton Hotel - Dublin Airport,,3,,,
4653_77790,7778101,191,Stamullen - Dublin City,,3,,,
4661_98303,7778352,853,Dublin Port - Dublin City,,3,,,
4689_99517,7778363,MB01,Ballymore - Moate,,3,,,
4818_106965,7778225,741,Dublin Airport - Dublin Airport,,3,,,
4818_68786,7778225,193,Ratoath - Dublin City,,3,,,
4818_68787,7778225,194,Ratoath - Dublin City,,3,,,
4822_107107,7778239,UM04,Wexford - Maynooth,,3,,,
4835_107432,7778249,AI01,Longford - Athlone,,3,,,
4836_107433,7778487,DK08,Ardee - Dundalk Institute of Technology,,3,,,
4847_107435,7778254,UM08,Dundrum - Maynooth University,,3,,,
4859_94420,7778352,KL04,Tyrrelstown - Keelings Flowers Food Central,,3,,,
4859_94421,7778352,KL01,Phibsborough - Keelings Retail UC,,3,,,
4860_107594,7778246,UL05,Westport - LimericK,,3,,,
4864_107633,7778246,970,Breaffy House Resort - Castlebar Town,,3,,,
4864_37738,7778246,968,"Knockcroghery (Mayo), Church of the Holy Rosary - Castlecourt Hotel Westport",,3,,,
4867_107634,7778206,NG01,Ballina - Galway,,3,,,
4867_107643,7778206,SI11,Ballina - Sligo,,3,,,
4869_107641,7778105,AI02,Roscommon - Athlone,,3,,,
4873_107635,7778255,UM05,Cavan - Maynooth University,,3,,,
4873_107644,7778255,GM13,Monaghan - Galway,,3,,,
4873_107645,7778255,UM09,Athboy - Maynooth University,,3,,,
4873_107646,7778255,UM03,Dundalk - Maynooth University,,3,,,
4874_107648,7778048,UM02,Birr - Maynooth,,3,,,
4878_107647,7778268,DK04,Bailieborough - Dundalk Institute of Technology,,3,,,
4878_107654,7778268,DK03,Trim - Dundalk Institute of Technology,,3,,,
4878_107655,7778268,DK02,Moynalty - Dundalk Institute of Technology,,3,,,
4878_40268,7778268,DK01,"Dunshaughlin (Euromart Shop) - Dundalk, DkIT Dublin Road",,3,,,
4881_107657,7778490,VI01,Kingscourt - Cavan,,3,,,
4883_107639,7778270,OF01,Carlingford - Dundalk,,3,,,
4883_107640,7778270,DF01,Carlingford - Drogheda,,3,,,
4889_107656,7778082,IW01,Kilkenny - South East Technological University Ca,,3,,,
4951_105288,7778077,976,Cockhill - Bridgend,,3,,,
4951_109514,7778077,951,Malin Town - Letterkenny,,3,,,
4952_109515,7778054,991,Killybegs - Letterkenny,,3,,,
4959_109516,7778068,290A,Tralee and Tralee via Blennerville,,3,,,
4959_109717,7778068,290B,Tralee and Tralee via Manor West,,3,,,
4975_109381,7778038,527,Kilcurriff - Tuam,,3,,,
4975_109382,7778038,488,Kilcurriff - Kilcurriff,,3,,,
4975_109513,7778038,441,Corofin - Tuam,,3,,,
4975_110722,7778038,484,Glenaneeney/Kilcurriff - Tuam,,3,,,
4977_110723,7778153,980,Carrickmacross - Dublin City,,3,,,
4977_84824,7778153,980A,Carrickmacross - Dublin City,,3,,,
4977_84825,7778153,980B,Carrickmacross - Dublin City,,3,,,
4980_110726,7778106,931,Crolly - Killea,,3,,,
4983_110725,7778066,500,Swords - Dublin City,,3,,,
4983_110727,7778066,501,Swords - Dublin City,,3,,,
4983_110728,7778066,502,Swords - Dublin City,,3,,,
4983_110729,7778066,503,Swords - Dublin City,,3,,,
4983_110731,7778066,505,Swords - Dublin City,,3,,,
4983_110732,7778066,506,Dublin City - Swords,,3,,,
4983_110733,7778066,507,Swords - Dublin City,,3,,,
4983_110736,7778066,500N,Dublin City - Swords,,3,,,
4983_110738,7778066,500X,Swords - Dublin City,,3,,,
4983_110739,7778066,505X,Dublin City - Swords,,3,,,
4983_110741,7778066,506X,Swords - Dublin City,,3,,,
4986_110743,7778093,974,Glen - Letterkenny,,3,,,
4988_110896,7778223,871,Urlingford - Kilkenny,,3,,,
4989_110899,7778024,702,Dublin Airport - Dalkey,,3,,,
4989_110900,7778024,700,Dublin Airport - Leopardstown,,3,,,
4989_110901,7778024,700X,Dublin Airport - Leopardstown,,3,,,
4989_94474,7778024,704x,Cork - Dublin - Dublin Airport,,3,,,
4989_94475,7778024,705x,Dublin City - Derry/Londonderry,,3,,,
4996_107358,7778080,250,Cobh - Cobh,,3,,,
4996_51296,7778080,211,"Cobh, O'Neill Place - Inchera, Hoffman Park",,3,,,
